query_id,video_id,event_id,frame_idx
q026_trake_01,L21_V001,1,750
q026_trake_01,L21_V001,2,2250
q026_trake_01,L21_V001,3,6810
q027_trake_02,L21_V001,1,15870
q027_trake_02,L21_V001,2,23460
q027_trake_02,L21_V001,3,26490
q028_trake_03,L21_V001,1,26490
q028_trake_03,L21_V001,2,34050
q028_trake_03,L21_V001,3,37080
q029_trake_04,L21_V002,1,630
q029_trake_04,L21_V002,2,3150
q029_trake_04,L21_V002,3,9510
q030_trake_05,L21_V002,1,9510
q030_trake_05,L21_V002,2,17100
q030_trake_05,L21_V002,3,26010
q031_trake_06,L21_V002,1,17100
q031_trake_06,L21_V002,2,26010
q031_trake_06,L21_V002,3,29790
q032_trake_07,L21_V003,1,575
q032_trake_07,L21_V003,2,1775
q032_trake_07,L21_V003,3,8975
q033_trake_08,L21_V003,1,8975
q033_trake_08,L21_V003,2,13775
q033_trake_08,L21_V003,3,25750
q034_trake_09,L21_V003,1,13775
q034_trake_09,L21_V003,2,25750
q034_trake_09,L21_V003,3,28125
q035_trake_10,L21_V005,1,540
q035_trake_10,L21_V005,2,2820
q035_trake_10,L21_V005,3,7350
